,,0
527,1, Conditional Autoregressive (CAR) model
527,2, Macro level safety modeling
527,3, Road network patterns
527,4, Signal density
527,5, Suburban arterials
529,0,endurance time
529,1, machine learning
529,2, prediction
529,3, questionnaire data
532,0,Crystallographic Texture
532,1, Grain boundary engineering
532,2, Grain boundary network
532,3, Microstructure Design
532,4, Triple Junction
533,0,Coanda effect
533,1, Firefighter safety
533,2, Flame attachment on slopes
533,3, Safe separation distance
534,0,human-robot interaction
534,1, swarms
535,0,Earthquake
535,2, Landslide
535,3, LIDAR
535,4, Liquefaction
535,5, Structure-from-motion
537,0,cell-free protein synthesis
537,1, coarse-grain simulation
537,2, PEG
537,3, PEGylation
537,4, site-specific
537,5, unnatural amino acid
538,0,Debugging
538,1, Field-Programmable Gate Array
538,2, High-Level Synthesis
539,0,Finite element model (FEM)
539,1, robotic surgery
539,2, suture
539,3, wound closure
540,0,Cysteine detection
540,1, Mercury(II) colorimetric sensor
540,2, Pyrimidine
541,0,Delay
541,1, Extended Kalman filter
541,2, Phasor measurement unit
545,0,Collaborative design
545,1, Group dynamics
545,2, Multi-user CAD
546,0,Ashby methods
546,1, Energy absorption
546,2, Foam
546,3, Football helmet
546,4, Materials selection
547,0,Axial force
547,3, Power
548,0,CAD Database
548,1, Interoperability
548,2, Multi-User
548,3, PLM
556,0,Effective area shape
556,1, horn antennas
556,3, superdirectivity
559,0,Dam
559,1, Dam operation
559,2, Reservoir
559,3, Reservoir capacity
559,4, Sedimentation
564,0,Bloom’s Taxonomy
564,1, Design Culture
564,2, Design Education
564,3, Industrial Design
564,4, Participatory Learning
565,0,Applied learning
565,2, Experiential Learning
565,3, Field Trip
565,5, Pedagogy
566,0,Chunking
566,1, Frameworks
566,2, Information Reduction
566,3, Insight
566,4, Segmentation
572,0,Advanced high strength steels (AHSS)
572,1, Carbon steels
572,2, High strength low alloy (HSLA) steels
572,3, Joining
572,4, Oxide dispersion strengthened (ODS) steels
572,5, Stainless steels
573,0,Corrosion resistance
573,1, Crack healing
573,2, Friction stir processing
585,0,Capabilities
585,1, Excess
585,3, Redesign
585,4, Requirements
588,0,Fault tolerace
588,1, field programmable gate arrays
588,2, neutron radiation effects
588,4, static random access memory (SRAM) cells
590,0,CubeSat
590,1, Earth observation
590,2, engineering design
590,3, microwave remote sensing
590,4, ocean winds
590,6, small satellites
590,7, system engineering
591,0,Optical trapping
591,1, Photophoresis
591,2, Volumetric display
592,0,BDI
592,1, Commitment
592,2, Graphical user interfaces
592,3, Human-robot collaboration
592,4, Human-robot interaction
592,5, Human-robot teams
592,6, Intent
592,7, Intention
592,8, Multi-objective path planing
592,9, Plans
592,10, Reasoning
592,11, Replanning
592,12, Tradeoffs
600,0,Complaint mechanisms
600,1, Cross-axis flexural pivot
600,2, Cylindrical cross-axis flexural pivot
600,3, Minimally invasive surgery
600,4, Nitinol
600,5, Pseudoelastic
600,6, Superelastic
601,0,Limit analysis
601,1, Masonry shear-wall
601,2, Masonry structures
601,3, Numerical modelling
601,4, Strut-and-tie model
602,0,Dry-stack
602,1, Finite element model
602,2, In-plane shear capacity
602,3, Masonry
603,0,Engineering design
603,1, Self-efficacy
603,2, Topic emotions
605,0,Collaborative learning
605,1, Computer-mediated-communication
605,2, Systems engineering
605,3, Virtual teams
621,0,Emissions
621,1, Fire
621,2, Soot formation
622,0,ATR
622,1, SfM
622,2, Structure-from-Motion
622,3, UAV
633,0,finite element modeling
633,1, Plaxis2D®
633,2, quay wall
633,3, wharf
636,0,Conceptual blocks
636,1, Design heuristics
636,2, Engineering design
636,3, First year curriculum
636,4, Service learning
637,0,AA6111
637,1, Butt-joint
637,3, FSW
637,4, High-Speed
637,5, Mechanical
637,6, Tensile
637,7, Texture
639,0,Antenna
639,1, Measurement
639,2, Propagation
641,0,holography
641,1, near-to-eye display
641,2, waveguide optics
642,0,cybersecurity
642,1, graph-theory
642,2, insider threat
642,3, multiparty computation
642,4, simulation
642,5, state inference
643,0,face recognition
643,1, image processing
643,3, object detection
644,0,Compressive strength
644,1, Confinement
644,2, Mortar
644,3, Numerical model
644,4, Stress-strain behavior
645,0,Ballistic armor
645,1, Dynamic testing
645,2, Fiber Bragg gratings
646,0,Interdisciplinary design
646,1, Multidisciplinary design
646,2, New product development
646,3, Project based learning
646,4, Virtual academic enterprise
649,0,Eco-composite
649,1, Kenaf
649,2, Multi-level modelling
649,3, Thermal conductivity
649,4, Transient-electrothermal technique
660,0,22q11.2 deletion syndrome
660,1, diffusion anisotropy
660,3, dMRI
660,4, white matter
661,0,Hyperparameter optimization
661,1, Metalearning
665,0,Aperiodic arrays
665,1, array antennas
665,2, peak sidelobe level (PSLL)
665,3, rotated tiles
666,0,Acceleration
666,2, Impact detection
666,3, Impact energy
666,4, Impact velocity
666,5, Piezoelectric foam
666,6, Self-sensing foam
666,7, Severity index
667,0,Articulatory kinematics
667,1, auditory feedback
667,2, silent articulation
667,3, voicing
667,4, whisper
669,0,Multipath channels
669,2, radio propagation
671,0,Kumamoto Earthquake
671,1, Kumamoto water supply
671,2, Lifeline damage
671,3, Pipeline failure rates
671,4, Water distribution network
672,0,Conciseness
672,1, language use
672,2, professional writing
672,3, word choice
672,4, writing style
673,0,Acoustic basis functions
673,1, Cut-on phenomena.
673,2, Cylindrical shell
673,3, Radiation mode shapes
674,0,Array effective resistance
674,2, phased array antennas
674,3, phased array feeds
674,4, receiving efficiency
674,5, scanned beams
675,0,liquid composite molding
675,1, Permeability
675,2, vacuum infusion
676,0,Analog-to-digital converter (ADC)
676,1, capacitance measurement
676,2, capacitor mismatch
676,3, metal-oxide-metal (MoM) capacitor
676,4, mismatch characterization
677,0,BEM
677,1, Deformable capsule
677,2, Dynamic refinement
677,3, FEM
678,0,Bragg gratings
678,1, delamination
678,2, nondestructive testing
678,3, sensor systems
678,4, tunable filters
679,0,Application security
679,1, Layered security
679,2, Repairing Applications
679,3, Secure software development
679,4, Security
683,1, Additive manufacturing
683,2, Insertion loss
683,3, Selective Laser Melting
683,4, Surface roughness
683,5, Waveguide attenuation
686,0,Friction stir processing
686,2, Heat source method
686,3, Model predictive control
686,4, PID
686,6, Temperature models
688,0,Adaptive and intelligent educational systems
688,1, Data and knowledge visualization
688,2, Data mining
688,3, Homework support systems
688,4, Literature review
688,5, Self-assessment technologies
689,0,Adaptability
689,1, Developing world
689,2, Evolvability
689,4, Improved cookstove
689,5, Reconfigurability
689,6, Reconfigure
689,7, System design
690,0,FPGA
690,1, High Energy Physics
690,2, Instrumentation
690,4, Reliability
690,5, Scrubbing
691,0,Category-Analog Circuits
694,0,Foam sensor
694,1, Functional data analysis
694,2, Gait analysis
694,3, Ground reaction force
694,5, Wearable sensor
697,0,Ascending auctions
697,1, Estimation of number of bidders
697,2, Unobserved auction participation
698,1, asthma
698,5, indoor environmental quality
699,3, Surgical instrument
701,0,dGEMRIC
701,1, Femoroacetabular impingement
701,2, Hip
701,3, MRI
701,4, Osteoarthritis
702,0,Mixed-initiative interaction
702,1, Topic modeling
702,2, User study
704,0,bad news
704,1, directness
704,2, Negative message buffer
704,3, visuals
706,0,Fluorescence sensing
706,2, Optofluidics
706,3, Pecvd
706,4, SiO2
706,5, Water absorption
708,0,aerodynamics
708,1, flow-structure interactions
708,2, interfacial flows (free surface)
709,0,Derivative superstructures
709,1, Displacement patterns
709,2, Enumeration
710,0,Antenna radiation efficiency
710,1, antenna total radiation efficiency
710,2, measurement uncertainty
710,3, millimeter wave
710,4, openended waveguide (OEW)
710,5, reverberation chamber (RC)
710,6, wireless systems
713,0,Aluminum alloys
713,2, Joint properties
713,3, Process responses
715,0,collaborative design
715,1, concurrent engineering
718,0,Design Optimization
718,1, Mobile Robots
718,2, Soft Robots
722,0,avionics
722,1, beam testing
722,2, BRAM
722,3, EDAC
722,5, IOB
722,6, MMCM
722,7, PLL
722,8, SEE
722,9, SERDES
722,10, soft-error rate
722,11, space
724,0,Codon bias
724,2, Language modeling
726,0,Economic cycles
726,1, Organizational issues
726,2, Organizational learning
726,3, Recession
727,0,Algorithm
727,1, Colored de Bruijn graph
727,2, Phylogenetics
727,3, Whole genome sequence
728,0,De Bruijn graph
728,1, Graph
728,2, GWAS
728,4, Polymorphism
729,0,cooperation
729,1, game theory
732,0,Construction
732,1, Experiential learning
739,0,Bearings
739,1, Bridge
739,2, Damage
739,3, Experimental analysis
739,4, Fragility
739,5, Incremental dynamic analysis
739,6, Seismic behavior
741,0,collaboration
741,1, design intent
741,2, heterogeneous CAD
742,0,conventional cascode
742,1, Differential stage
742,2, low-power amplifier
742,3, ultra-high voltage gain
742,4, weak/moderate inversion
743,0,"clean water, Village Drill"
743,1, design for the developing world
743,2, engineering for global development
743,3, poverty alleviation
744,0,asset rating
744,1, climate normalization
744,2, commercial buildings
744,3, energy efficiency
744,4, energy simulation
745,0,Bézier projection
745,1, Hierarchical spline spaces
745,3, Local refinement and coarsening
745,4, Phase field
745,5, Tumor growth
747,0,high-density
747,1, modeling and simulation
747,2, Multi-agent modeling
747,3, UAV systems
748,0,Crystal plasticity
748,1, Dislocation pile-up
748,2, Dual phase steel
748,3, Representative volume element
748,4, Superdislocation
749,0,integrated optics
749,1, intrinsic film stress
749,3, optical waveguides
749,5, water absorption
750,0,Air-bubble mixing
750,2, Point-of-care
750,3, Single molecule RNA detection
751,0,Live fuels
751,1, Shrub combustion
751,2, Wildland fire modeling
752,0,Electric distribution network
752,1, LiDAR
752,2, Outage prediction model
752,3, Resilience
752,4, Severe weather
752,5, Vegetation management
753,1, dynamic equivalent
753,2, information
753,3, manifold boundary approximation method
753,4, system identification
755,0,Cell therapy
755,1, Endogenous TGase
755,2, Micro-scaffold capsule
755,3, Pathological liver
755,4, Targeted cell delivery
757,0,band gaps
757,1, ferritin
757,2, metal oxides
757,3, nanoparticles
757,4, synthesis
758,2, manganese oxide
759,0,Heterogeneous CAD
759,1, MESH CAD
759,2, Neutral Format
760,0,3-omega
760,1, Spider silk
760,2, Synthetic silk
760,3, Thermal characterization
760,4, Transient electrothermal technique
761,0,Essential tremor
761,1, Frequency response
761,2, Impedance
761,3, Parkinson’s disease
761,4, System dynamics
761,5, Tremor suppression
763,0,available data
763,1, Bayesian analysis
763,2, designed experiments
763,3, repeats and replicates
764,0,automotive applications
764,1, isogeometric analysis
764,2, Kirchhoff-Love
764,3, Reissner-Mindlin
764,4, shells
765,1, multi-objective decision making
765,2, robot path-planning
765,3, user interface design
766,0,haptic feedback
766,1, human-swarm interaction
766,2, situation awareness
768,0,Dynamic data reconciliation
768,1, Industrial data
768,2, Kalman filter
768,3, Moving horizon estimation
768,4, Wired drillpipe
770,0,Front-end planning (FEP)
770,1, Planning
770,2, Project definition rating index (PDRI)
770,3, Risk management
770,4, Scope definition
771,0,Jet
771,2, One dimensional turbulence
771,3, Particle dispersion
773,0,Bayesian additive regression trees
773,1, critical infrastructure outage modeling
773,2, electric distribution network
773,3, quantile regression forests
773,4, weather hazards
775,0,Failure modes
775,1, Masonry prisms
775,2, Nonlinear behavior
775,3, Stiffness ratio
775,4, Stress-strain relationship
777,0,disordered nucleation
777,1, flux penetration
777,2, superconducting radio frequency cavities
777,3, superheating field
778,0,Electron backscattering diffraction (EBSD)
778,3, In-situ
779,2, receiving antenna
779,3, superdirective antenna
780,0,Algorithms
780,1, Atria
780,2, Optimization
780,3, Skybridges
780,4, Structural analysis
780,5, Tall buildings
781,0,Data association
781,1, multiple target tracking (MTT)
781,2, random sample consensus (RANSAC)
783,0,Bed load
783,2, Hydrologic information system
783,3, Sediment
784,0,Active integrated antenna (AIA)
784,1, circular polarization (CP)
784,2, harmonic suppression
784,3, linear polarization (LP)
784,4, patch antenna
784,5, power added efficiency (PAE)
795,0,Design creativity
795,1, Design synthesis
796,0,Face-to-face selling
796,1, Project-based learning
796,2, Public assessment
797,0,Copyright
797,1, Design patent
797,3, IP trends
797,4, Live projects
797,5, Sponsored projects
797,6, Trademark
797,7, Utility patent
798,0,Design thinking
798,1, Experience design
798,2, Holistic design
798,3, Human centered design
798,4, Interdisciplinary design
799,0,Bio plastic
799,1, Bio-inspired design / biomimetics
799,2, Ecodesign
799,3, Social responsibility
799,4, Sustainability
800,0,Antarctic
800,1, Arctic
800,2, radar remote sensing
800,3, sea ice
801,0,Shrub combustion
801,1, Wildland fire
802,0,Fires
802,1, Flame-merging
803,0,Coal
804,1, Method of moments
805,0,epithelial cells
805,1, kidney
805,2, magnetic resonance imaging
805,3, organ regeneration
805,4, Recellularization
809,0,Biomass
809,1, Flat-Flame Burner
809,2, Live fuel
812,1, Flame - merging
822,0,Drag reduction
824,0,BRAM scrubbing
824,1, configuration scrubbing
824,2, Feedback TMR
824,4, LEON3
824,5, neutron beam test
824,7, SEU mitigation
824,8, soft processors
824,9, TMR
825,0,Boiling
825,1, Droplet impingement
826,0,Barrier layer
826,1, Ellipsometry
826,2, Extreme ultraviolet
826,3, Genetic algorithm
826,4, Hydrogen etch
826,5, Mirrors
826,6, Ultraviolet
831,0,Finishing contractors
831,1, Lean construction
831,2, Lean implementation
831,3, Subcontractors
832,0,Lean construction
832,1, Relational contracting
832,2, Unethical behavior
846,0,Ash aerosol
846,1, Fouling ash
846,2, Minimum recycled flue gas
846,3, Oxy-fuel combustion
849,0,Method of moments
850,0,Char oxidation
850,2, Kinetics
850,3, Oxy-fuel
850,4, Sensitivity analysis
857,0,Conducting polymer
857,1, Electrochemical energy storage
857,2, Electrode
857,3, Organic battery
857,4, Radical polymer
857,5, Redox flow battery
858,0,Amperometric sensing
858,1, Carbon nanotube
858,2, Convection
858,3, Electrochemical
858,5, Platinum
860,0,Biosensing
860,2, lab-on-chip
867,0,Carbon nanotubes
867,1, Microfabrication
867,2, Vascular stent
868,0,Convergence
868,1, Emergent behavior
868,2, Leader placement
868,3, Robotic swarms
871,0,Comprehensive modeling
871,1, Oxy-coal
871,2, Single-particle combustion
872,0,Friction stir scribe joining
873,0,AA7075
873,1, Corrosion
873,3, EXCO
873,6, SEM
880,0,Cruise control
880,1, decentralized control
880,2, linear feedback control systems
880,3, motion control/collision avoidance
883,0,FFT
883,2, Photothermal
883,3, Quantum dots
883,4, Thermal diffusivity
883,5, Thermometry
884,0,Formability
884,1, Magnesium alloy
887,0,AA6022
887,1, Aluminum to steel joining
887,2, Friction stir scribe
887,4, Mild steel
887,5, Surfalex 6s
887,6, Ultra high strength steel
888,0,Linear systems
888,1, minimal realization theory
888,2, systems biology
889,0,Crop diversification
889,1, Cropping systems models
889,2, Dryland cropping systems
889,3, Herbicide resistant weeds
889,4, No-till
889,5, Residue management
0,0,Drones
0,1, Human engineering
0,2, Intelligent systems
0,3, Real time systems
0,4, Security of data
0,5, Autonomous systems
0,6, Causal relationships
0,7, Decision mechanism
0,8, Dependency graphs
0,9, Real-time application
0,10, Self assessment
0,11, Social robots
3,0,Compressors
3,1, Data handling
3,2, Structural design
3,3, Compressor blades
3,4, Computational costs
3,6, Design variations
3,7, Geometric variations
3,8, Principal Components
3,9, Stress variations
3,10, Two-point correlation
3,11, Machine design
4,0,Entertainment
4,1, A-RINGS
4,2, External pressures
4,3, Romantic relationship
4,4, User motivation
4,5, Motivation
5,0,Asynchronous generators
5,1, Compressed sensing
5,2, Computation theory
5,3, Computational geometry
5,4, Dynamic loads
5,5, Dynamics
5,6, Electric fault currents
5,7, Large scale systems
5,8, Computational data
5,9, Computational differential geometry
5,10, Doubly fed induction generators
5,11, Information geometry
5,12, Large-scale power systems
5,13, Power system transients
5,14, Transient phenomenon
5,15, Two-step procedure
5,16, Electric machine theory
6,0,Ballistics
6,1, Coatings
6,2, Fiber optic sensors
6,3, Fibers
6,4, Impact testing
6,5, Weaving
6,6, Backing materials
6,7, Ballistic impact testing
6,8, Ballistic Protection
6,9, Fiber Bragg Grating Sensors
6,10, High-velocity impact
6,11, Repeated impact
6,12, Strain information
6,13, Strain response
7,0,Economic and social effects
7,1, Location
7,2, Collaborative environments
7,3, Design environment
7,4, Immersive virtual environments
7,5, Immersive virtual reality
7,6, Location identification
7,7, Multiple transitions
7,8, Specific component
7,9, View locations
8,0,Cyber Physical System
8,1, Embedded systems
8,2, Frequency estimation
8,4, Bad data detections
8,5, Cyber physical systems (CPSs)
8,6, Hybrid state estimation
8,7, Information and Communication Technologies
8,8, Measuring instruments
8,10, Probabilistic extension
8,11, Realistic communication
8,12, Phasor measurement units
9,0,Etching
9,1, Photoresists
9,2, Polymers
9,3, Capillary action
9,4, Chemical vapor deposited
9,5, Nanoscale solids
9,6, Natural shapes
9,7, Sacrificial etching
9,8, Silicon substrates
9,9, Solid-state membranes
9,10, Suspended membranes
9,11, Membranes
10,0,Amines
10,1, Carbon dioxide
10,3, Climate change
10,4, Energy utilization
10,5, Environmental technology
10,6, Ethanolamines
10,7, Investments
10,8, Life cycle
10,9, Specific heat
10,10, Adsorption/desorption
10,11, Covalently bonded
10,12, High temperature
10,13, Industrial methods
10,14, Material synthesis
10,15, Monoethanolamine
10,16, Polyethyleneimine
10,17, Preparation phasis
10,18, Environmental impact
11,0,Aerospace industry
11,1, Aluminum alloys
11,2, Aluminum coated steel
11,3, Automotive industry
11,4, Cleaning
11,5, Spot welding
11,6, Thermocouples
11,7, Tool steel
11,8, Welds
11,9, Effective tool
11,10, Friction stir spot welding
11,12, Steel tools
11,13, Thin sheet
11,14, Tool materials
11,15, Tool surfaces
11,16, Weld temperature
12,0,Agricultural robots
12,1, Numerical methods
12,2, Trees (mathematics)
12,3, Coordinate ascent
12,4, Decentralized routing
12,5," Intelligence , surveillance , and reconnaissances"
12,6, Limited communication
12,7, Monte-Carlo tree searches
12,8, Multiple autonomous vehicles
12,9, Myopic algorithm
12,10, Optimal solutions
12,11, Autonomous vehicles
13,0,Armor
13,1, Ballistics
13,3, Energy dissipation
13,4, Failure (mechanical)
13,5, High speed cameras
13,8, Fabric deformations
13,9, Face deformations
13,10, Optical interrogation
13,11, Spectral profile
13,12, Strain behaviors
14,0,Degrees of freedom (mechanics)
14,1, Extraction
14,2, Functions
14,3, Linear systems
14,4, Quality control
14,5, Strain
14,6, Thin walled structures
14,7, Coarse meshes
14,8, Control meshes
14,9, Geometrically nonlinear
14,10, Interpolatory
14,11, Mixed approach
14,12, Orthogonality properties
14,13, Shear and membrane locking
14,14, Variational principles
14,15, Locks (fasteners)
16,0,Bridge decks
16,1, Computer architecture
16,2, Concrete bridges
16,3, Concretes
16,5, Acoustic excitation
16,6, Data processing architecture
16,7, Detection and repairs
16,8, Inspection methods
16,9, Internal cracking
16,10, Long-term maintenances
16,11, Orders of magnitude
16,12, Sounding techniques
16,13, Repair
18,0,Aluminum
18,1, Energy efficiency
18,2, Heat losses
18,3, Hinges
18,4, Meteorology
18,5, Radiative Cooling
18,7, Expansion and contraction
18,8, Experimental demonstrations
18,9, Experimental prototype
18,10, Operating temperature
18,11, Radiative heat loss
18,12, Spacecraft components
18,13, Spacecraft radiators
18,14, Vacuum environment
18,15, Radiators
20,0,Activation energy
20,2, Carbon dioxide process
20,3, Carbon footprint
20,4, Carbon monoxide
20,5, Catalysts
20,7, Global warming
20,8, Iron research
20,9, Methane
20,10, Oxalic acid
20,11, Reaction kinetics
20,12, Synthesis gas
20,13, Synthesis gas manufacture
20,14, Carbon and hydrogens
20,15, Carbon dioxide emissions
20,16, Carbon footprint reductions
20,17, Char gasification
20,18, Multifunctional agents
20,19, Process efficiency
20,20, Syngas production
20,21, Two-stage process
20,22, Coal combustion
21,0,High pass filters
21,1, Particle detectors
21,2, Biquad filter
21,3, Design process
21,4, Front-end amplifier
21,5, Particle detection
21,6, Power efficiency
21,7, Pulse signal
21,8, State of the art
21,9, Transfer characteristics
21,10, Pulse shaping
22,0,Data integration
22,1, Data Science
22,2, Information use
22,3, Paper
22,4, Publishing
22,5, Search engines
22,6, Websites
22,7, Academic journal
22,8, Empirical studies
22,9, High volumes
22,10, Latest development
22,11, Learning models
22,12, Research papers
22,13, Scientific journals
22,14, Scientific papers
23,0,Crystal lattices
23,2, Boundary planes
23,3, Coincidence site lattices
23,4, Disorientation angle
23,5, Face-centered cubic
23,6, Grain-boundary energy
23,7, Low angle boundaries
23,8, Misorientations
24,0,Bandwidth
24,1, Signal to noise ratio
24,2, Analog to digital converters
24,3, Coarse quantization
24,4, Data converter
24,5, High resolution
24,6, Multi stage noise shaping
24,7, Over sampling ratio
24,8, Power efficient
24,9, Wide bandwidth
24,10, Analog to digital conversion
25,0,Antennas
25,1, Degrees of freedom (mechanics)
25,3, Unmanned aerial vehicles (UAV)
25,4, Ambiguity resolution
25,5, Attitude estimation
25,6, Cooperative navigations
25,7, Multiple-input multiple-output channels
25,8, Potential methods
25,9, Radio frequencies
25,10, Two degrees of freedom
25,11, Vector estimates
25,12, Air navigation
26,1, Global positioning system
26,2, Vehicles
26,3, Direct measurement
26,4, Global measurements
26,5, GPS-denied navigations
26,6, Inertial measurement unit
26,7, Laser scan matching
26,8, Multiplicative extended kalman filters
26,9, System robustness
26,10, Useful properties
26,11, Extended Kalman filters
29,0,Ecodesign
29,1, Engineers
29,2, Laws and legislation
29,5, Academic research
29,6, Current practices
29,7, Design engineers
29,8, Engineering professionals
29,9, Government regulation
29,10, Industry practices
29,11, Social impact assessments
29,13, Economic and social effects
30,0,Aircraft detection
30,1, Clutter (information theory)
30,2, Geometrical optics
30,3, Matrix algebra
30,4, Video recording
30,5, Embedded hardware
30,6, Epipolar geometry
30,8, Multi-target tracking
30,9, Pose estimation algorithm
30,10, Real time performance
30,11, Relative rotation
30,12, State-of-the-art algorithms
30,13, Iterative methods
31,1, Clinical research
31,3, Joints (anatomy)
31,4, Calibration method
31,5, Clinical application
31,6, Co-ordinate system
31,7, Electromagnetic sensors
31,8, Experimental methods
31,9, In-vivo measurement
31,10, International Society of Biomechanics
31,11, Motion tracking system
31,12, Motion tracking
31,13, anatomic landmark
31,14, arm movement
31,15, Article
31,16, body position
31,17, comparative study
31,18, elbow
31,19, electromagnetism
31,20, forearm
31,21, in vivo study
31,22, kinematics
31,23, methodology
31,24, rotation
31,25, shoulder
33,0,Mechanical engineering
33,1, Mechanisms
33,2, Conical geometry
33,3, Conical surfaces
33,4, Multiloop
33,5, Position analysis
33,6, Spherical mechanisms
33,7, Spheres
35,0,Aerospace applications
35,1, Convolution
35,2, Failure analysis
35,3, Field programmable gate arrays (FPGA)
35,4, Integrated circuit design
35,5, Low power electronics
35,6, Military applications
35,7, Military vehicles
35,8, Multilayer neural networks
35,9, Network layers
35,10, Random errors
35,11, Static random access storage
35,12, Binary quantization
35,13, Configuration memory
35,14, Design flexibility
35,15, Low-power consumption
35,16, Misclassifications
35,17, Reliability impacts
35,18, Resource utilizations
35,19, Static random access memory
35,20, Convolutional neural networks
37,0,Separation
37,1, Aliased
37,5, Effect sparsity
37,6, Hierarchical order
37,7, Factor analysis
38,0,Bit error rate
38,1, Equalizers
38,2, Errors
38,3, Frequency allocation
38,4, Maximum likelihood
38,5, Mean square error
38,6, Telemetering equipment
38,7, Aeronautical telemetry
38,8, Carrier frequency offsets
38,9, Discrete-time channels
38,10, Filter coefficients
38,11, Frequency selectivity
38,12, Minimum mean squared error equalizers
38,13, Reliable estimates
38,14, Viable solutions
38,15, Parameter estimation
41,0,3D printers
41,1, Additives
41,2, Laser heating
41,3, Open source software
41,4, Open systems
41,5, Residual stresses
41,7, Complex microstructures
41,8, Cross correlations
41,10, Dislocation substructures
41,11, Geometrically necessary dislocations
41,12, High resolution electron backscatter diffractions
41,13, Laser additive manufacturing
41,14, Residual strains
43,0,Aspect ratio
43,1, Cytology
43,2, Geometry
43,3, Liquid films
43,5, Thermodynamics
43,6, Water cooled reactors
43,8, Ambient environment
43,9, Capillary effects
43,11, Large aspect ratio
43,12, Light water cooled nuclear reactors
43,13, Microfluidic channel
43,14, Microfluidic geometry
43,15, Thin liquid film
43,16, 3D printers
46,0,Developing countries
46,3, Developing product
46,5, Engineered products
46,7, Probability tables
46,8, Product development process
46,9, Product reviews
46,10, SIMPLE method
48,2, Drying
48,3, Ink jet printing
48,4, Saturation (materials composition)
48,6, Additive manufacturing process
48,7, Droplet volume
48,8, Drying condition
48,9, Heating conditions
48,10, Postprocessing methods
48,11, Saturation levels
48,12, Saturation limits
48,13, Saturation parameters
48,14, Drops
49,0,DNA
49,1, Electroless plating
49,2, Gold Nanorods
49,4, Nanoelectronics
49,5, Nanorods
49,6, Plasmons
49,7, Semiconducting tellurium
49,8, Bottom up approach
49,9, DNA nanostructures
49,10, Electrical characterization
49,11, Electroless gold plating
49,12, Inorganic nanostructures
49,13, Schottky junctions
49,14, Semiconductor interfaces
49,15, Voltage properties
49,16, Semiconductor junctions
50,0,Bioinformatics
50,1, C++ (programming language)
50,2, Data structures
50,3, Software prototyping
50,4, De Bruijn graphs
50,5, False positive
50,6, Map-reduce
50,7, Parallel data structures
50,8, Parallel operations
50,9, Specific values
50,10, Digital storage
51,0,Dynamics
51,1, Learning algorithms
51,2, Topology
51,3, Global stability
51,4, Hierarchical topology
51,5, Network element
51,6, Real-world networks
51,7, Skewed degree distribution
51,8, Spectral properties
51,9, Topological evolution
51,10, Topological features
51,11, Recurrent neural networks
52,0,Polynomial approximation
52,1, Biharmonic problem
52,2, Continuity constraints
52,4, Dual mortars
52,5, Fourth order problems
52,6, Higher-order polynomials
52,7, Optimal approximation
52,8, Polynomial splines
54,0,Angular distribution
54,1, Brickmaking
54,2, Heat flux
54,3, Heat radiation
54,4, Radiative transfer
54,5, Rotary kilns
54,6, Absorption and scatterings
54,7, Conductive heat transfer
54,8, Cylindrical enclosure
54,9, Discrete ordinates method
54,10, Particle distributions
54,11, Radiative heat fluxes
54,13, Radiative transfer equations
54,14, 3D modeling
57,0,Biocompatibility
57,1, Cell adhesion
57,2, Cytotoxicity
57,4, Plasma applications
57,5, Polyethylene glycols
57,6, Resins
57,7, Sulfur compounds
57,8, 3-D printing
57,9, Cell migration
57,10, Design approaches
57,12, Microfluidic structures
57,13, Plasma treatment
57,14, Polyethylene glycol diacrylate
59,2, Forecasting
59,3, Isomers
59,5, Sustainable development
59,8, Engineering community
59,9, Engineering parameters
59,10, Performance measure
59,12, Product requirements
59,13, U.S.-Mexico border
60,0,Computer graphics
60,3, Graphics processing unit
60,4, Nonlinear systems
60,5, Predictive control systems
60,6, Program processors
60,7, Real time control
60,8, Robot programming
60,9, Robotics
60,10, Robots
60,11, Control architectures and programming
60,12, High degree of freedom systems
60,13, Model learning
60,17, Optimization method
60,18, Robotics applications
61,0,Fault detection
61,3, Network components
61,4, Circuit components
61,5, Fault detection techniques
61,6, Fault Injection techniques
61,7, Multiple clock domains
61,8, Networking systems
61,9, Neutron radiations
61,10, Partial duplications
61,11, Radiation-induced
61,12, Neutron irradiation
62,1, Flow velocity
62,2, Fluorescence
62,3, Focusing
62,4, Hydrodynamics
62,5, Optical waveguides
62,6, Surface micromachining
62,7, Detection sensitivity
62,8, Fluorescent signals
62,9, Hydrodynamic focusing
62,10, Optofluidic devices
62,11, Pressure-driven flows
62,12, Sensitivity and specificity
62,13, Threedimensional (3-d)
62,14, Volumetric flow ratio
62,15, Flow of fluids
66,0,Binary alloys
66,1, Cobalt alloys
66,2, Crystal structure
66,3, Crystallinity
66,4, Deposition
66,5, Lithium batteries
66,7, Thin films
66,8, Tin alloys
66,10, High through-put characterization
66,11, Li metal
66,12, Protection layers
66,13, Sn alloys
66,14, Lithium alloys
68,0,Anodes
68,1, Electrochemical cells
68,2, Fuel cells
68,3, Glucose
68,4, Molar ratio
68,5, Oxygen
68,6, Reaction rates
68,7, Electrochemical conditions
68,8, Electrochemical experiments
68,9, Electrochemical reaction rates
68,10, Fuel cell application
68,11, Glucose fuel cells
68,14, Viologens
68,15, Electrochemical oxidation
68,16, anoxic conditions
68,17, electrochemical method
68,18, electrode
68,19, experimental study
