author_ids,title,source_title,article_no,cited_count,doi,abstract,document_type,keywords
"['57215322624', '57202818911', '7102523474']",The polygraph: A data structure for genome alignment and variation detection,"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",,,,"Comparing whole genomes and finding variation is an important and difficult bioinfor-matic task. We present the Polygraph, a data structure for reference-free, multiple whole genome alignment that can be used to identify genomic structural variation. This data structure is built from assembled genomes and preserves the genomic structure from the assembly. It avoids the “hairball” graph structure that can occur in other graph methods such as de Bruijn graphs. The Polygraph can easily be visualized and be used for identification of structural variants. We apply the Polygraph to Escherichia coli and Saccharomyces cerevisiae for finding Structural Variants. Copyright © 2012-2020 easychair.org. All rights reserved.",Conference Paper,
"['57203310052', '57204552603', '57204551844', '57204547933', '24295291100', '57195217444']",Quantifying accuracy of a concept laser metal additive machine through the NIST test artifact,Rapid Prototyping Journal,,,10.1108/RPJ-01-2018-0029,"Purpose: The purpose of this paper is to describe the use of a test artifact proposed by NIST to quantify the dimensional accuracy of a metal additive manufacturing process. Insights from this paper are given concerning both the performance of the machine, a concept laser Mlab cusing machine, and the applicability of the NIST test artifact in characterizing accuracy. Recommendations are given for improving the artifact and standardizing a process for evaluating dimensional accuracy across the additive manufacturing industry. Design/methodology/approach: Three builds of the NIST additive manufacturing test artifact were fabricated in 316 stainless steel on a concept laser Mlab cusing machine. The paper follows the procedure described by NIST for characterizing dimensional accuracy of the additive process. Features including pins, holes and staircase flats of various sizes were measured using an optical measurement system, a touch probe and a profilometer. Findings: This paper describes the accuracy of printed features’ size and position on the test artifact, as well as surface finish on flat and inclined surfaces. Trends in variation of these dimensions are identified, along with possible root causes and remedies. This paper also describes several strengths and weaknesses in the design of the test artifact and the proposed measurement strategy, with recommendations on how to improve and standardize the process. Originality/value: This paper reviews a previously proposed design and process for measuring the capabilities of additive manufacturing processes. It also suggests improvements that can be incorporated into future designs and standardized across the industry. © 2018, Emerald Publishing Limited.",Article,"['Additive manufacturingOptical data processing', ' 316 stainless steel', ' Additive manufacturing process', ' Design/methodology/approach', ' Dimensional accuracy', ' Inclined surface', ' Measurement strategies', ' Optical measurement systems', ' Size and position', ' 3D printers']"
"['7003302831', '57193706327', '7202282831', '16066928300']",Automated Air-Coupled Impact-Echo Testing of a Concrete Bridge Deck from a Continuously Moving Platform,Journal of Nondestructive Evaluation, 32,3.0,10.1007/s10921-019-0566-9,"The objective of this work was to develop an automated air-coupled impact-echo testing device for mapping the occurrence of delamination in a concrete bridge deck from a continuously moving platform with a fast, repeatable excitation mechanism and algorithms for collecting and analyzing the acoustic data. The apparatus developed in this research included an impactor unit, a moving platform, a microphone for air-coupled sensing, a distance measurement instrument, and signal processing modules. Given the absence of an existing universal threshold for differentiating among intact and delaminated areas using the new device, a delamination detection threshold value was determined in a first field demonstration also involving chain dragging and coring of a concrete bridge deck. While the maps of the air-coupled impact-echo data and chain-dragging data exhibit a high degree of similarity and are highly consistent with the results of coring, a quantitative method of comparison also demonstrates the utility of the new device across a broad range of delamination percentages. Specifically, the results indicate that the percentage of the deck area determined to be delaminated using impact-echo testing was within 3 percentage points of that determined to be delaminated using chain dragging for 10 of the 13 deck test sections, which generally exhibited delamination percentages ranging from 7 to 21%. Finally, testing with the new device was more than seven times faster than chain dragging. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.",Article,"['Air-coupled impact-echo testing', ' Chain dragging', ' Concrete bridge deck', ' DelaminationBridge decks', ' Concrete testing', ' Concretes', ' Delamination', ' Signal processing', ' Degree of similarity', ' Delamination detections', ' Excitation mechanisms', ' Impact-echo testing', ' Measurement instruments', ' Percentage points', ' Quantitative method', ' Universal threshold', ' Concrete bridges']"
"['57200690449', '35597296700']",The Effect of Antenna Mutual Coupling on MIMO Radar System Performance,IEEE Transactions on Antennas and Propagation, 8581509,2.0,10.1109/TAP.2018.2888702,"Multiple-input multiple-output (MIMO) radar systems use orthogonal signaling to enable combined transmit and receive beamforming through signal processing on the received signals. Because of the combined role of transmit and receive arrays in this processing for monostatic MIMO radar, mutual coupling present in these arrays impacts the beamforming in a unique way. This paper presents a mathematical model of a MIMO radar with coupled antennas and appropriate radio frequency circuitry. Application of the model to evaluate radar detection of a single target demonstrates that coupling can result in target detection angles that are in error by as much as 12° and increase beamformer response sidelobe levels by as much as 8 dB. The results also show that a simple matching network can improve detection performance, particularly when array mutual coupling is high. © 1963-2012 IEEE.",Article,"['Beam steering', ' multiple-input multiple-output (MIMO) systems', ' mutual coupling', ' radar antennasAntenna lobes', ' Beam forming networks', ' Beamforming', ' MIMO systems', ' Radar antennas', ' Radar signal processing', ' Radar systems', ' Tracking radar', ' Antenna mutual coupling', ' Beam-steering', ' Detection performance', ' Monostatic MIMO radars', ' Multiple input multiple output (MIMO) radars', ' Mutual coupling', ' Radio frequency circuitries', ' Simple matching network', ' MIMO radar']"
"['57208717150', '55457444300']",Turning depths: Evanescent to propagating wave kinetic energy density,Physical Review Fluids, 034803,,10.1103/PhysRevFluids.4.034803,"Tidal flow over oceanic topography generates internal waves when the natural frequency N of the water is greater than the tidal frequency ω. When N<ω, evanescent waves are generated. Although the amplitude and kinetic energy of evanescent waves decay rapidly, if the wave reaches a turning depth, where N=ω, and moves into a region where N>ω, the evanescent wave becomes an internal wave. This work expands upon previous research of varying stratifications by investigating the kinetic energy density in internal waves generated by evanescent waves passing through a turning depth. An analytical model is presented and compared to synthetic schlieren experiments of two Gaussian-shaped topographies. The model and experiments both indicate that the kinetic energy density of internal waves increases with decreasing topographic slope, when the distance between the topography and the turning depth decreases and when the average Froude number in the evanescent region is close to one. The model is used to estimate the normalized kinetic energy density of internal waves generated from an oceanic feature located within an evanescent region. © 2019 American Physical Society.",Article,
"['57204091960', '7401431037']",Microstructural evaluation of hydrogen embrittlement and successive recovery in advanced high strength steel,Journal of Materials Processing Technology,,4.0,10.1016/j.jmatprotec.2018.09.039,"Advanced high strength steels (AHSS) have high susceptibility to hydrogen embrittlement, and are often exposed to hydrogen environments in processing. In order to study the embrittlement and recovery of steel, tensile tests were conducted on two different types of AHSS over time after hydrogen charging. Concentration measurements and hydrogen microprinting were carried out at the same time steps to visualize the hydrogen behavior during recovery. The diffusible hydrogen concentration was found to decay exponentially, and empirical relations were found for both types of steel. Hydrogen concentration decay rates were determined to be -0.355 /hr in TBF-980, and -0.225 /hr in DP-980. Hydrogen concentration thresholds for embrittlement were found to be 1.04 mL/100 g for TBF, and 0.87 mL/100 g for DP steel. TBF steel is predicted to recover from embrittlement within 4.2 h, compared to 7.2 h in DP steel. A two-factor method of evaluating recovery from embrittlement, requiring hydrogen concentration threshold and decay rate, is explained for use in predicting recovery after exposure to hydrogen. Anisotropic hydrogen diffusion rates were also observed on the surface of both steels for a short time after charging, as hydrogen left the surface through <001> and <101> grains faster than grains with <111> orientations. This could be explained by differences in surface energies between the different orientations. © 2018 Elsevier B.V.",Article,"['Crystallographic orientation', ' Hydrogen embrittlement', ' Recovery', ' SteelDecay (organic)', ' Hydrogen embrittlement', ' Recovery', ' Steel', ' Tensile testing', ' Advanced high strength steel', ' Concentration Measurement', ' Crystallographic orientations', ' Diffusible hydrogen', ' Empirical relations', ' Hydrogen concentration', ' Hydrogen diffusion', ' Microstructural evaluation', ' High strength steel']"
"['56353116200', '57197765353', '7004300863', '6603717022']",Over-Design Versus Redesign as a Response to Future Requirements,"Journal of Mechanical Design, Transactions of the ASME", 031101,1.0,10.1115/1.4042335,"Though little research has been done in the field of over-design as a product development strategy, an over-design approach can help products avoid the issue of premature obsolescence. This paper compares over-design to redesign as approaches to address the emergence of future requirements. Net present value (NPV) analyses of several real world applications are examined from the perspective of manufacturers (i.e., defense contractors, automobile, pharmaceutical, and microprocessor manufactures) and customers (i.e., purchases of vehicles, televisions, cell phones, washing machines, and buildings). This analysis is used to determine the conditions under which an over-design approach provides a greater benefit than a redesign approach. Over-design is found to have a higher NPV than redesign when future requirements occur soon after the initial release, discount rates are low, initial research, and development cost or price is high, and when the incremental costs of the future requirements are low. © 2019 by ASME.",Article,"['capabilities', ' excess', ' Over-design', ' redesign', ' requirementsAutomobile manufacture', ' Cellular telephones', ' Obsolescence', ' Purchasing', ' capabilities', ' Defense contractor', ' Development costs', ' excess', ' Net present value', ' Product development strategy', ' redesign', ' requirements', ' Product design']"
"['56584019300', '55542008600', '56714263700', '8608718200']",Control of Net Radiative Heat Transfer with a Variable-Emissivity Accordion Tessellation,Journal of Heat Transfer, 032702,4.0,10.1115/1.4042442,"Origami tessellations have been proposed as a mechanism for control of radiative heat transfer through the use of the cavity effect. This work explores the impact of a changing projected surface area and varying apparent radiative properties on the net radiative heat transfer of an accordion fold comprised of V-grooves. The net radiative heat transfer of an accordion tessellation is obtained by a thermal energy balance at the cavity openings with radiative properties of the cavities given as a function of various cavity parameters. Results of the analytical model are experimentally confirmed. An accordion tessellation, constructed of stainless-steel shim stock, is positioned to achieve a specified fold angle and placed in a vacuum environment while heated by Joule heating. A thermal camera records the apparent temperature of the cavity openings for various fold angles. Results are compared to apparent temperatures predicted with the analytical model. Analytically and experimentally obtained temperatures agree within 5% and all measurements fall within experimental uncertainty. For diffusely irradiated surfaces, the decrease in projected surface area dominates, causing a continuous decrease in net radiative heat transfer for a collapsing accordion fold. Highly reflective specular surfaces exposed to diffuse irradiation experience large turn-down ratios (7.5× reduction in heat transfer) in the small angle ranges. Specular surfaces exposed to collimated irradiation achieve a turn down ratio of 3.35 between V-groove angles of 120 deg and 150 deg. The approach outlined here may be extended to modeling the net radiative heat transfer for other origami tessellations. © 2019 by ASME.",Article,
"['57210923446', '55652695700', '57205329719', '57199801999', '57193242858', '7005512824']",Biocompatible and sustainable power supply for self-powered wearable and implantable electronics using III-nitride thin-film-based flexible piezoelectric generator,Nano Energy,,17.0,10.1016/j.nanoen.2018.12.080,"Energy harvesters that scavenge biomechanical energy are promising power supply candidates for wearable and implantable electronics. Of the most widely used energy harvesters, piezoelectric generators can generate more electric charge than their triboelectric counterparts with similar device size, thus are more suitable to make compact wearable devices. However, most high-power piezoelectric generators are made from lead zirconate titanate, making them undesirable for wearable applications due to the toxic lead element. In this study, a flexible piezoelectric generator (F-PEG) is fabricated with chemically stable and biocompatible Group-III-nitride (III-N) thin film by a layer-transfer method. The III-N thin-film F-PEG can generate an open-circuit voltage of 50 V, a short-circuit current of 15 µA, and a maximum power of 167 µW at a load resistance of 5 MΩ. Applications of the III-N thin-film F-PEG are demonstrated by directly powering electronics such as light-emitting diodes and electric watches, and by charging commercial capacitors and batteries to operate an optical pulse sensor. Furthermore, the III-N thin-film F-PEG shows good durability and a stable output after being subjected to severe buckling tests of over 30,000 cycles. © 2019 Elsevier Ltd",Article,"['Biocompatible', ' Flexible', ' III-nitride', ' Piezoelectric generators', ' Self-powered system', ' Thin filmBiocompatibility', ' Durability', ' Electric power systems', ' Energy harvesting', ' Flexible electronics', ' Lead zirconate titanate', ' Nitrides', ' Open circuit voltage', ' Piezoelectric devices', ' Piezoelectricity', ' Thin films', ' Wearable technology', ' Biocompatible', ' Flexible', ' III-Nitride', ' Piezoelectric generators', ' Self-powered systems', ' Thin film circuits']"
"['57205263313', '56036628100', '36953700600', '16033650300']",Nonlinear resonant ultrasound spectroscopy of stress corrosion cracking in stainless steel rods,NDT and E International,,10.0,10.1016/j.ndteint.2018.12.007,"Stainless steel containers are susceptible to stress corrosion cracking (SCC) under certain stress and corrosion conditions. Nonlinear ultrasonic techniques are very sensitive to the early presence of damage, more so than linear techniques. Nonlinear Resonant Ultrasound Spectroscopy (NRUS) is used here to measure a nonlinear shift in the resonance frequency due to a cumulative amount of SCC. Steel rods are immersed in a heated magnesium chloride solution and removed after different exposure times. NRUS measurements are conducted using the fundamental longitudinal mode of vibration. Rods exposed longer generally have a larger resonance frequency shift and are therefore more nonlinear. Thus NRUS might offer a means of detecting a cumulative SCC damage in a sample. © 2018 Elsevier Ltd",Article,"['Nondestructive evaluation', ' Nondestructive testing', ' Nonlinear resonant ultrasound spectroscopy', ' Stress corrosion crackingChlorine compounds', ' Connecting rods', ' Damage detection', ' Magnesium compounds', ' Natural frequencies', ' Nondestructive examination', ' Residual stresses', ' Spectroscopy', ' Stainless steel', ' Steel containers', ' Steel corrosion', ' Ultrasonic testing', ' Cumulative amount', ' Longitudinal modes', ' Magnesium chloride solution', ' Non destructive evaluation', ' Non-linear ultrasonic', ' Nonlinear resonant ultrasound spectroscopies', ' Resonance frequencies', ' Resonance frequency shift', ' Stress corrosion cracking']"
"['23970286000', '57194276793', '57208827685', '7401703652', '57202228997', '7006111578', '54415129200', '7005373645']",Roadmap on biological pathways for electronic nanofabrication and materials,Nano Futures, 012001,2.0,10.1088/2399-1984/aaf7d5,"Conventional microchip fabrication is energy and resource intensive. Thus, the discovery of new manufacturing approaches that reduce these expenditures would be highly beneficial to the semiconductor industry. In comparison, living systems construct complex nanometer-scale structures with high yields and low energy utilization. Combining the capabilities of living systems with synthetic DNA-/protein-based self-assembly may offer intriguing potential for revolutionizing the synthesis of complex sub-10 nm information processing architectures. The successful discovery of new biologically based paradigms would not only help extend the current semiconductor technology roadmap, but also offer additional potential growth areas in biology, medicine, agriculture and sustainability for the semiconductor industry. This article summarizes discussions surrounding key emerging technologies explored at the Workshop on Biological Pathways for Electronic Nanofabrication and Materials that was held on 16–17 November 2016 at the IBM Almaden Research Center in San Jose, CA. © 2019 IOP Publishing Ltd.",Review,"['Biofabrication', ' DNA', ' Nanofabrication', ' Roadmap', ' SemiconductorsAgricultural robots', ' Biological systems', ' DNA', ' Nanotechnology', ' Semiconductor device manufacture', ' Semiconductor materials', ' Biofabrication', ' Emerging technologies', ' Information processing architecture', ' Microchip fabrication', ' Nanometer scale structure', ' Roadmap', ' Semiconductor industry', ' Semiconductor technology', ' Energy utilization']"
"['57189235340', '7003292762']",Impact of soft errors on large-scale FPGA cloud computing,FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,,2.0,10.1145/3289602.3293911,"FPGAs are being used in large numbers within cloud computing to provide high-performance, low-power alternatives to more traditional computing structures. While FPGAs provide a number of important benefits to cloud computing environments, they are susceptible to radiation-induced soft errors, which can lead to silent data corruption or system instability. Although soft errors within a single FPGA occur infrequently, soft errors in large-scale FPGAs systems can occur at a relatively high rate. This paper investigates the failure rate of several FPGA applications running within an FPGA cloud computing node by performing fault injection experiments to determine the susceptibility of these applications to soft-errors. The results from these experiments suggest that silent data corruption will occur every few hours within a 100,000 node FPGA system and that such a system can only maintain high-levels of reliability for short periods of operation. These results suggest that soft-error detection and mitigation techniques may be needed in large-scale FPGA systems. © 2019 Association for Computing Machinery.",Conference Paper,
"['57202047395', '57193927413', '54978625300', '26029526200', '7006799143']",On-chip FPGA debug instrumentation for machine learning applications,FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,,4.0,10.1145/3289602.3293922,"FPGAs provide a promising implementation option for many machine learning applications. Although simulations or software models can be used to explore the design space of these applications, often the final behaviour can not be evaluated until the design is mapped to the FPGA and integrated into the target system. This may be because long run-times are required, or because the environment can not be adequately described using a software model. Once unexpected behaviour is observed, on-chip debug is notoriously difficult; typically a design is instrumented with on-chip trace buffers that record the run-time behaviour for later interrogation. In this paper, we describe instrumentation that can accelerate the process of debugging machine learning applications implemented on an FPGA. Unlike previous work, our instrumentation is optimized to take advantage of characteristics of this application domain. Our instruments gather useful domain-specific information about the observed variables instead of recording the raw values of those elements. Results show that the proposed instruments provide at least 17.8x longer visibility in the most conservative of our experiments at a low area and latency cost. © 2019 Association for Computing Machinery.",Conference Paper,
"['57203922639', '57196487336', '16199522200']",Measuring the transverse Young's modulus of maize rind and pith tissues,Journal of Biomechanics,,3.0,10.1016/j.jbiomech.2018.12.028,"Wind-induced bending loads frequently cause failure of maize (corn) stalks. When failure occurs, it usually manifests as transverse buckling. Because this failure mode is closely related to transverse tissue stiffness, the purpose of this study was to develop a method for measuring the transverse Young's modulus of maize stalk rind and pith tissues. Short, disc-shaped stalk segments were used for this purpose. X-ray computed tomography was used to obtain the geometry of each specimen prior to testing. Each specimen was tested in two different configurations. Computed tomography data was used to create a specimen-specific finite element model of each test specimen. Data from the first testing configuration was used in conjunction with the finite element model to determine the Young's Modulus values for each specimen. The specimen-specific finite element models provided estimates of the stress states in the stem under transverse loading, and these stress states accurately predicted the location of failure in transverse test specimens. The entire testing method was validated using data from one test configuration to predict the structural response of each specimen during the second test configuration. © 2018",Article,"['Finite element modeling', ' Stiffness', ' Tissue properties', ' Transverse compression', "" Young's modulusComputerized tomography"", ' Elastic moduli', ' Histology', ' Stiffness', ' Stress analysis', ' Testing', ' Tissue', ' Tissue engineering', ' Computed tomography data', ' Specific finite element', ' Structural response', ' Testing configurations', ' Tissue properties', ' Transverse compression', "" Transverse Young's modulus"", ' X-ray computed tomography', ' Finite element method', ' article', ' compression', ' geometry', ' human tissue', ' maize', ' nonhuman', ' rigidity', ' stress', ' x-ray computed tomography', ' biomechanics', ' finite element analysis', ' mechanical stress', ' physiology', ' Young modulus', ' Biomechanical Phenomena', ' Elastic Modulus', ' Finite Element Analysis', ' Stress, Mechanical', ' Zea mays']"
"['57188681207', '56985459400', '57195343816', '57188173800', '57201722090', '36349287300']",Configuration estimation for accurate position control of large-scale soft robots,IEEE/ASME Transactions on Mechatronics, 8510913,11.0,10.1109/TMECH.2018.2878228,"There is a significant trend in robotics of exploring passively compliant and low inertia systems that can safely make contact with the environment. This paper defines many of the problems associated with developing effective control of soft, pneumatically actuated, inflatable robots, and proposes an approach to solving a subset of these problems. We show that we can obtain a global measurement of orientation for a given soft-robot link using two different types of sensors (not including motion capture). Given the orientation measurement, it is possible to estimate relative configurations of the soft actuators and joints. In order to validate the ability to control position and orientation at the end effector, we show a new method for calibrating the coordinate frames of two unrelated measurement systems. Then, using one of our configuration estimation methods, we demonstrate its viability by performing simple behaviors with a large-scale (approximately 1.5 m long) soft-robot platform attached to the K-Rex rover at NASA Ames in an outdoor environment. Our results also show the importance of soft-robot kinematic calibration and the sensitivity of a soft robot to simple perturbations in the structure like deflation and reinflation. Finally, we show that end effector error can be significantly reduced by doing a form of servoing. In summary, our approach and demonstrations show effective soft-robot configuration estimation and control for large-scale soft robots capable of performing manipulation tasks. © 1996-2012 IEEE.",Article,"['Calibration', ' motion control', ' pneumatic actuators', ' pose estimation', ' robot kinematics', ' soft robotics', ' state estimation', ' visual servoingCalibration', ' Estimation', ' Kinematics', ' NASA', ' Position control', ' Rhenium alloys', ' Robotics', ' Sensors', ' Configuration estimation', ' Configuration estimation methods', ' Global measurements', ' Measurement system', ' Orientation measurements', ' Outdoor environment', ' Position and orientations', ' Soft robotics', ' End effectors']"
"['56237421600', '6701863708', '55457444300', '8608718200']",Influence of micro-structured superhydrophobic surfaces on nucleation and natural convection in a heated pool,International Journal of Heat and Mass Transfer,,,10.1016/j.ijheatmasstransfer.2018.10.030,"This work experimentally explores sub-boiling pool nucleation on micro-structured superhydrophobic surfaces. All surfaces tested were submerged in a 20 mm deep pool of water and heated from below to maintain a constant surface temperature, while the side walls of the pool were insulated, and the top was covered. Three thermocouples positioned in the pool obtain the average pool temperature. A heat flux sensor is placed directly beneath the surface to measure the heat flux supplied to the pool. Free convection heat transfer coefficients are obtained for the sub-boiling temperature range of 40–90 °C. Six surface types are studied: smooth hydrophilic, smooth hydrophobic, superhydrophobic with rib/cavity structures, superhydrophobic with rib/cavity structures and additional sparsely spaced ribs to close off the cavities, circular posts, and circular holes. It is found that structured superhydrophobic surfaces provide cavities for nucleation to occur. More dissolved air effervesces from the water as the surface temperature increases due to an increased level of supersaturation and convection. The nucleation leads to large air bubble formations that reduce the overall convection coefficient when compared to the smooth surfaces. For the rib/cavity structured surfaces, the bubbles form in an anisotropic manner and are aligned with the surface structure. More bubbles are observed on the superhydrophobic surfaces where the cavities are bounded. Since water's ability to dissolve air is dependent on temperature, heat and mass transfer cannot be treated independently on any of the superhydrophobic surfaces studied here. © 2018 Elsevier Ltd",Article,"['Heat transfer', ' Mass transfer', ' Natural convection', ' Nucleation', ' SuperhydrophobicAtmospheric temperature', ' Heat flux', ' Heat transfer', ' Lakes', ' Mass transfer', ' Microstructure', ' Natural convection', ' Nucleation', ' Surface properties', ' Surface structure', ' Thermocouples', ' Air bubble formation', ' Constant surface temperatures', ' Convection coefficients', ' Heat and mass transfer', ' Structured surfaces', ' Super-hydrophobic surfaces', ' Superhydrophobic', ' Surface temperatures', ' Hydrophobicity']"
"['55912340300', '57201864184', '34874297000', '10639679200', '16178649400']",Target control and source estimation metrics for dynamical networks,Automatica,,7.0,10.1016/j.automatica.2018.11.054,"This note examines metrics for target control and source estimation in dynamical networks. Specifically, the energy required to control a target node in a network from a remote input, and dually the fidelity with which a source state can be estimated from a noisy remote measurement, are studied. For both problems, spectral and graph-theoretic analyses are undertaken, and a comparison between the two metrics is also developed. The analyses highlight an essential asymmetry between target control and source estimation. © 2018 Elsevier Ltd",Article,
"['56854811600', '55141781300']",Surveying the Landscape: Statewide Data on K-12 CS Education Implementation,"Proceedings of the 2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2019", 8985707,,10.1109/RESPECT46404.2019.8985707,"In the past decade, there have been increasing efforts and initiatives to increase participation in computer science worldwide. In the U.S., these efforts have resulted in national curricula and increased local expectations. The research on actual implementation often reports on efforts of single schools or districts. This paper provides a high-level description of the practices and challenges of teaching CS in K-12 across an entire state. To better understand how these efforts might increase CS education for all, we surveyed every public school in the state of Utah and analyzed enrollment data for all 19 Utah CS courses. The survey consisted of closed and open-ended questions about each school's current CS practices and personnel. Schools from 39 of 42 public school districts responded (including charter schools) representing 46.3% of the state's high schools, 39.3% of middle/junior high schools, and 28% of elementary schools. Course data indicated that enrollment in CS courses increased considerably in the past five years after the introduction of newer, more fundamental courses. Despite the general enrollment increase, there has been a markedly smaller increase in student enrollment in more advanced CS courses. In this paper, we discuss these and other surprising results, as well as challenges that educators reported in promoting and teaching CS. © 2019 IEEE.",Conference Paper,"['CS education', ' CS for All', ' K-12Curricula', ' School buildings', ' Surveys', ' CS education', ' Elementary schools', ' High level description', ' Local expectations', ' Open-ended questions', ' Public school districts', ' Public schools', ' Student enrollments', ' Teaching']"
"['57190384916', '7005253700', '7004060735', '9942259800']",Dynamics of a capsule flowing in a tube under pulsatile flow,Journal of the Mechanical Behavior of Biomedical Materials,,,10.1016/j.jmbbm.2018.10.025,"We analyze numerically the behavior of a deformable micro-capsule confined in a pipe under a pulsatile flow. The capsule moves and is deformed by the action of a pulsatile flow inside the tube with a non-null mean velocity. This configuration can be found in the nature and in many bioengineering systems where artificial capsules are driven by micro-pumps through micro-channels. The capsule is considered as a thin hyperelastic membrane, which encloses an internal fluid. As it has been demonstrated in the literature, this model represents a wide range of artificial capsules, for example, the alginate-based capsules, typically used in bioengineering applications. A hybrid isogeometric finite element method and boundary element method based on a T-spline discretization and formulated in the time domain is used to solve the mechanical and hydrodynamical equations. The influence of the relative rigidity of the membrane, frequency and amplitude of the pulsatile flow is studied. Results show that the behavior of the capsule differs from steady flows and it depends strongly on the frequency of the flow and mechanical characteristic of the capsule. © 2018 Elsevier Ltd",Article,"['Deformable capsule', ' IGA', ' Pulsatile flow', ' T-splineBoundary element method', ' Deformation', ' Pulsatile flow', ' Sailing vessels', ' Splines', ' Deformable capsule', ' Discretizations', ' Hydrodynamical equations', ' Hyperelastic membranes', ' Mean velocities', ' Mechanical characteristics', ' Relative rigidity', ' T-splines', ' Time domain analysis', ' alginic acid', ' Article', ' bioengineering', ' dynamics', ' microcapsule', ' oscillation', ' priority journal', ' pulsatile flow', ' rigidity', ' surface area', ' surface property', ' velocity', ' hydrodynamics', ' mechanics', ' microcapsule', ' Capsules', ' Hydrodynamics', ' Mechanical Phenomena', ' Pulsatile Flow']"
"['55413434100', '55827824100']",Failure time distributions for complex equipment,Quality and Reliability Engineering International,,,10.1002/qre.2387,"The exponential distribution is inadequate as a failure time model for most components; however, under certain conditions (in particular, that component failure rates are small and mutually independent, and failed components are immediately replaced or perfectly repaired), it is applicable to complex repairable systems with large numbers of components in series, regardless of component distributions, as shown by Drenick in 1960. This result implies that system behavior may become simpler as more components are added. We review necessary conditions for the result and present some simulation studies to assess how well it holds in systems with finite numbers of components. We also note that Drenick's result is analogous to similar results in other systems disciplines, again resulting in simpler behavior as the number of entities in the system increases. © 2018 John Wiley & Sons, Ltd.",Article,"['complex systems', "" Drenick's theorem"", ' exponential distribution', ' failure lawFailure analysis', ' Complex repairable systems', ' Component distributions', ' Component failures', "" Drenick's theorem"", ' Exponential distributions', ' Failure-time distribution', ' Mutually independents', ' Simulation studies', ' Large scale systems']"
"['48361087900', '57189218211', '7003381644']",An intuitive way to understand mutual coupling effects in antenna arrays using the poynting streamline method,IEEE Transactions on Antennas and Propagation, 8529254,2.0,10.1109/TAP.2018.2880049,"The flow of energy around array antenna in receiving mode can be modeled by generating streamlines of the Poynting vector field. From the streamlines that terminate on the array element loads, a geometrical shape can be assigned to the effective area of the array. These concepts provide an intuitive tool for understanding mutual coupling effects in antenna arrays. The decrease in directivity associated with mutual coupling effects, the so-called element-gain paradox, can be explained by the overlap of the element effective area shapes. The critical element spacing for the element-gain paradox effect can be predicted from the effective area shape for a single isolated array element. Antenna design for minimizing mutual coupling, which is of interest in multiple input multiple output communications systems, magnetic resonance imaging arrays, astronomical arrays, and other applications, can be guided by analysing the effective area shape for a single isolated array element. © 1963-2012 IEEE.",Article,"['Array antennas', ' element-gain paradox', ' mutual coupling', ' Poynting streamlines', ' receiving antennasDipole antennas', ' Directive antennas', ' Electromagnetic waves', ' Magnetic resonance imaging', ' Receiving antennas', ' Array antennas', ' element-gain paradox', ' Loaded antennas', ' Mutual coupling', ' Poynting streamlines', ' Shape', ' Antenna arrays']"
"['57197733358', '57200390842', '57003496300', '8342785400', '35209941000']",A 9-Bit 10-MHz 28-μW SAR ADC Using Tapered Bit Periods and a Partially Interdigitated DAC,IEEE Transactions on Circuits and Systems II: Express Briefs, 8378063,4.0,10.1109/TCSII.2018.2845883,"A successive-approximation-register (SAR) analogto- digital converter (ADC) incorporates ""tapered bit periods"" to reduce power consumption by minimizing the digital-to-analog converter (DAC) timing overhead. Utilizing a variable delay line and the standard SAR logic, the proposed technique reduces power by downsizing the DAC drivers and digital logic without decreasing the sampling rate. A detailed analysis derives, for the first time, a closed-form solution of the capacitive DAC settling time accounting for parasitics, and determines the time savings of the proposed design. In addition, this brief proposes a ""partially interdigitated"" DAC layout to reduce the bottom-plate parasitic capacitance to minimize the DAC power. A 9-bit prototype fabricated in 180-nm technology achieves a signal-to-noise-distortion ratio (SNDR) of 55.5 dB at a 10-MHz sampling rate while consuming 28 μW, yielding a figure-of-merit of 5.7 fJ/conversionstep, the lowest among published ADCs at similar speeds and resolutions. © 2004-2012 IEEE.",Article,"['DAC layout', ' DAC settling', ' SAR ADC', ' timing schemeCapacitance', ' Capacitors', ' Computer architecture', ' Computer circuits', ' Digital to analog conversion', ' Electric power utilization', ' Logic gates', ' Switches', ' DAC layout', ' DAC settling', ' Delays', ' Power demands', ' SAR ADC', ' timing scheme', ' Analog to digital conversion']"
